brand_name,product_name,price_usd,product_description,ingredients,approval_rating,review_count
medicube,medicube - Zero Pore Pad 2.0,US$ 18.20,"Achieve blemish-free skin with these toner pads formulated with AHA and BHA to gently slough away dead skin cells and purify pores for a smooth finish. Chock-full of plant extracts and natural oils, the formula offers gentle exfoliation while keeping skin moisturized and soothed.","Water, Methylpropanediol, Tromethamine, Lactic Acid, Alcohol Denat., 1,2-Hexanediol, Panthenol, Glycereth-26, Salicylic Acid, Ammonium Acryloyldimethyltaurate/VP Copolymer, Betaine, Trehalose, Polyglyceryl-10 Laurate, Ethylhexylglycerin, Glycerin, Allantoin, Polyglyceryl-10 Myristate, Disodium EDTA, Butylene Glycol, Sodium Hyaluronate, Betaine Salicylate, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Citrus Grandis (Grapefruit) Peel Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Eucalyptus Globulus Leaf Oil, Lavandula Angustifolia (Lavender) Oil, Vitis Vinifera (Grape) Fruit Extract, Citrus Aurantifolia (Lime) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Ethyl Hexanediol, Centella Asiatica Extract, Salix Alba (Willow) Bark Extract, Origanum Vulgare Leaf Extract, Chamaecyparis Obtusa Leaf Extract, Lactobacillus/Soybean Ferment Extract, Cinnamomum Cassia Bark Extract, Scutellaria Baicalensis Root Extract, Portulaca Oleracea Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Pueraria Lobata Root Extract, Limonene",96%,"1,652"
COSRX,COSRX - Advanced Snail 96 Mucin Power Essence,US$ 17.50,"Containing as much as 96% snail secretion filtrate, the advanced snail mucin essence from Korean beauty favorite COSRX adds intense moisture to hydrate skin while helping to repair damaged skin, reduce redness, and improve skin texture and pigmentation. A popular ingredient in any Korean skin care routine, snail slime is known to benefit aging skin and soften the appearance of fine lines. Its moisturizing and healing properties also make it great to use in combination with retinol or Vitamin C serums. Other key ingredients in this COSRX snail essence include sodium hyaluronate, allantoin, panthenol and arginine, which provide additional hydrating and elasticity-enhancing effects. Suitable for various skin types, including normal skin, oily skin and sensitive skin.","Snail Secretion Filtrate, Betaine, Butylene Glycol, 1,2-Hexanediol, Sodium Polyacrylate, Phenoxyethanol, Sodium Hyaluronate, Allantoin, Ethyl Hexanediol, Carbomer, Panthenol, Arginine",96.50%,"25,916"
Biodance,Biodance - Bio Collagen - Real Deep Mask Set,US$ 19.00,"This Korean collagen mask offers firming, moisturizing and brightening effects. It’s formulated with a blend of low-molecular collagen peptides, oligo hyaluronic acid and galatactomyces ferment filtrate that deeply hydrates and nourishes skin while promoting youthful-looking skin. The hydrogel material adheres well to face for deep delivery of skin care ingredients, while promoting a fuss-free experience. To use, apply at the end of skin care routine and leave on overnight to remove the next morning.","Water, Collagen Extract, Galactomyces Ferment Filtrate, Glycerine, Acrylates Copolymer, Niacinamide, Ceratonia Siliqua (Carob) Gum, Chondrus Crispus Extract, Betaine, Algin, Dipropylene Glycol, Agar, Hydroxyacetophenone, 1,2-Hexanediol, Potassium Chloride, Polyglyceryl-10 Laurate, Caprylyl Glycol, Sucrose, Butylene Glycol, Allantoin, Ethylhexylglycerin, Hydrolyzed Hyaluronic Acid, Adenosine, Disodium EDTA, Pyrus Communis (Pear) Fruit Extract, Rosa Damascena Flower Water, Iris Florentina Root Extract, Cucumis Melo (Melon) Fruit Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Dipotassium Glycyrrhizate, Bifida Ferment Filtrate, Tocopherol, Lactobacillus Ferment, Lactobacillus Ferment Lysate",96.80%,561
medicube,medicube - Deep Vita C Capsule Cream,US$ 20.50,"This brightening cream packed with 500,000ppm of vitamin tree as well as Vitamin C capsules and five Vitamin C derivatives deliver major glow while firming, hydrating and refining skin. The gentle yet potent formula is dermatologically tested to be suitable for sensitive skin.","Hippophae Rhamnoides Water, Butylene Glycol, 1,2-Hexanediol, Glycerin, Water, Niacinamide, Methylpropanediol, Propanediol, Dipropylene Glycol, Caprylic/Capric Triglyceride, Glycereth-26, Ethylhexyl Palmitate, Cetearyl Alcohol, Arginine, Cetearyl Olivate, Sorbitan Olivate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Helianthus Annuus (Sunflower) Seed Oil, Glycine Soja (Soybean) Oil, Bixa Orellana Seed Oil, Tocopherol, Polyglyceryl-10 Laurate, Simethicone, Carbomer, Ethylhexylglycerin, Hydrogenated Lecithin, Polyglyceryl-10 Stearate, Panthenol, Sodium Ascorbyl Phosphate, Folic Acid, Pyridoxine, Biotin, Cyanocobalamin, Thiamine HCl, Beta-Carotene, Riboflavin, Linoleic Acid, Polyacrylate-13, Polyisobutene, Polysorbate 20, Sorbitan Isostearate, Adenosine, Fragrance, Disodium EDTA, Glyceryl Stearate, Hydrolyzed Sclerotium Gum, Gluconolactone, Sodium Hyaluronate, Ascorbyl Propyl Hyaluronate, Alpha-Arbutin, Pentylene Glycol, Hydroxyphenyl Propamidobenzoic Acid, Ascorbyl Palmitate, Ubiquinone, Ferulic acid, 3-O-Ethyl Ascorbic Acid, Ascorbyl Glucoside, Rutin, Hydroxycinnamic Acid, Bisabolol , Ascorbic Acid",96%,458
medicube,medicube - Collagen Jelly Cream,US$ 22.50,"Reverse signs of aging with this gel cream amped up with collagen and elastin to improve skin elasticity and reduce wrinkles. Niacinamide and blueberry extract help promote a brighter complexion, while hyaluronic acid and squalane strengthen the skin’s moisture barrier. Formulated without artificial colorants, the cream’s pink hue comes from various vitamin-rich ingredients.","Water, Propanediol, Dipropylene Glycol, Butylene Glycol, Methylpropanediol, Diethoxyethyl Succinate, Ethoxydiglycol, Ammonium Acryloyldimethyltaurate/Beheneth-25 Methacrylate Crosspolymer, Niacinamide, Trehalose, 1,2-Hexanediol, Chlorella Vulgaris Extract, Collagen, Hydrolyzed Collagen, Cynanchum Atratum Extract, Althaea Rosea Flower Extract, Soluble Collagen, Allium Sativum (Garlic) Bulb Extract, Avena Sativa (Oat) Kernel Extract, Bertholletia Excelsa Seed Extract, Brassica Oleracea Italica (Broccoli) Extract, Camellia Sinensis Seed Extract, Salmon Egg Extract, Solanum Lycopersicum (Tomato) Fruit Extract, Spinacia Oleracea (Spinach) Leaf Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Wine Extract, Polyglyceryl-10 Isostearate, Tromethamine, Glucose, Polyglyceryl-10 Oleate, Ethylhexylglycerin, Fructooligosaccharides, Fructose, Adenosine, Sodium Phytate, Cyanocobalamin, Tocopherol, Pullulan, Glycerin, Hydroxypropyltrimonium Hyaluronate, Squalane, Soluble Proteoglycan, Hydrolyzed Elastin, Sodium DNA, Carbomer, Xanthan Gum, Fragrance(Parfum)",96%,"1,681"
LANEIGE,LANEIGE - Lip Sleeping Mask EX Mini,US$ 5.32,"Wake up to smooth, plumped-up lips with this lip sleeping mask infused with Berry Mix Complex and hyaluronic acid for firming, hydrating and nourishing effects. To use, apply onto lips before bedtime. This product is mini-sized.","Diisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Hydrogenated C6-14 Olefin Polymers, Polybutene, Microcrystalline Wax, Shea Butter, Synthetic Wax, Ethylene/Propylene/Styrene Copolymer, Sucrose Tetrastearate Triacetate, Mica, Euphorbia Cerifera (Candelilla) Wax, Candelilla Wax Esters, Astrocaryum Murumuru Seed Butter, Titanium Dioxide (CI 77891), Fragrance, Glyceryl Caprylate, Polyglyceryl-2 Diisostearate, Butylene/Ethylene/Styrene Copolymer, Copernicia Cerifera (Carnauba) Wax, Methicone, Polyglyceryl-2 Triisostearate, Cocos Nucifera (Coconut) Oil, Sunset Yellow FCF, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Lithol Rubine B, Ascorbic Acid, Purified Water, Glycerin, Propanediol, BHT, Punica Granatum Fruit Juice, Rubus Idaeus (Raspberry) Juice, Vitis Vinifera (Grape) Juice",96.60%,"12,412"
SKIN 1004,SKIN 1004 - Madagascar Centella Probio-Cica Bakuchiol Eye Cream,US$ 10.71,"This eye cream is formulated with bakuchiol to restore firmness in the delicate skin around the eyes. It features hyaluronic acid to deliver moisture, as well as ceramide NP, panthenol and niacinamide to target dark circles, fine lines and wrinkles.","Centella Asiatica Extract, Glycerin, Butylene Glycol, Dipentaerythrityl Hexa C5-9 Acid Esters, 1,2-Hexanediol, Niacinamide, Squalane, Water, Polyglyceryl-3 Distearate, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Betaine, Butyrospermum Parkii (Shea) Butter, Heptyl Undecylenate, Lactobacillus/Centella Asiatica Extract Ferment Filtrate, Glyceryl Stearate, Bakuchiol, Panthenol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Palmitic Acid, Tromethamine, Stearic Acid, Glyceryl Stearate Citrate, Carbomer, Ethylhexylglycerin, Adenosine, Macadamia Ternifolia Seed Oil, Sodium Phytate, Sodium Hyaluronate, Hydrogenated Lecithin, Ceramide NP, Glyceryl Acrylate/Acrylic Acid Copolymer, Dextrin, Theobroma Cacao (Cocoa) Extract, Polyglyceryl-10 Myristate, Phytosphingosine, Madecassic Acid, Asiaticoside, Hydrolyzed Extensin, Sucrose Distearate, Asiatic Acid, Lauric Acid, Phytosterols, Hydrolyzed Hyaluronic Acid, Caprylyl Glycol, Acetyl Hexapeptide-8",,"4,200"
AXIS - Y,AXIS - Y - Dark Spot Correcting Glow Serum,US$ 16.50,"Boasting a cruelty-free and vegan-friendly formulation free from artificial colorants, mineral oils, fragrances and parabens, this serum refreshes and nourishes skin with extracts from calendula, papaya and sea buckthorn, while also offering brightening effects with rice bran extract.","Water, Glycerin, Niacinamide, Sodium Hyaluronate, Propanediol, Erythritol, Butylene Glycol, Squalane, Oryza Sativa (Rice) Bran Extract, Calendula Officinalis Flower Extract, Carica Papaya (Papaya) Fruit Extract, Hippophae Rhamnoides Fruit Extract, Malpighia Emarginata(Acerola)Fruit Extract, Polyglyceryl-10 Laurate, Chlorphenesin, Arginine, Ethylhexylglycerin, Carbomer, Glutathione, 1,2-Hexanediol, Hydroxypropyl Cyclodextrin, Disodium EDTA, Hydroxyethylcellulose, Allantoin, Rosmarinus Officinalis (Rosemary) Leaf Oil",95.30%,"8,294"
Anua,Anua - Rice 70 Glow Milky Toner,US$ 18.96,"This nourishing toner is anchored in rice bran water and niacinamide to brighten skin, plus ceramide NP and sodium hyaluronate to up moisture levels. Betaine in the lightweight formula keeps flare-ups at bay. The toner is fragrance-free and dermatologically tested to be suitable for all skin types.","Oryza Sativa (Rice) Bran Water, 1,2-Hexanediol, Oryza Sativa (Rice) Extract, Butylene Glycol, Glycerin, Dipropylene Glycol, Niacinamide, Propanediol, Water, Butylene Glycol, 1,2-Hexanediol, Dipropylene Glycol, Oryza Sativa (Rice) Extract, Hydrolyzed Rice Protein, Oryza Sativa (Rice) Seed Protein, Ceramide NP, Glycerin, Diphenyl Dimethicone, Triethylhexanoin, Water, Hydrogenated Lecithin, Panthenol, Water, Methyl Gluceth-20, Betaine, Glycerin, Water, Glyceryl Acrylate/Acrylic Acid Copolymer, Butylene Glycol, Propanediol, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Hydroxyacetophenone, Adenosine, Ethylhexylglycerin, Carbomer, Tromethamine, Water, Butylene Glycol, 1,2-Hexanediol, Allantoin, Xanthan Gum, Theobroma Cacao (Cocoa) Seed Extract, Dextrin, Water, Sodium Lauroyl Lactylate, 1,2-Hexanediol, Ceramide NP, Ceramide AP, Phytosphingosine, Cholesterol, Xanthan Gum, Carbomer, Ethylhexylglycerin, Ceramide Eop, Ascorbic Acid, Arbutin",95.70%,"1,276"
Beauty of Joseon,Beauty of Joseon - Glow Serum,US$ 15.30,"Power up lackluster skin with this potent serum infused with 60% propolis and 2% niacinamide to fight inflammation, control sebum production and treat hyperpigmentation while keeping moisture levels high. The rich, honey-like texture absorbs swiftly into skin without leaving a sticky after-feel. Formulated using only EWG-certified ingredients, this serum is suitable for sensitive skin.","Propolis Extract, Dipropylene Glycol, Glycerin, Butylene Glycol, Water, Niacinamide, 1,2-Hexanediol, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Sodium Hyaluronate, Curcuma Longa (Turmeric) Root Extract, Ocimum Sanctum Leaf Extract, Theobroma Cacao (Cocoa) Seed Extract, Melaleuca Alternifolia (Tea Tree) Extract, Centella Asiatica Extract, Corallina Officinalis Extract, Lotus Corniculatus Seed Extract, Calophyllum Inophyllum Seed Oil, Betaine Salicylate, Sodium Polyacryloyldimethyl Taurate, Tromethamine, Polyglyceryl-10 Laurate, Caprylyl Glycol, Ethylhexylglycerin, Dextrin, Pentylene Glycol, Octanediol, Tocopherol, Xanthan Gum, Carbomer",97%,"9,890"
COSRX,COSRX - The 6 Peptide Skin Booster,US$ 17.50,"This do-it-all serum is infused with 6 Peptide Complex to enhance skin elasticity and refine skin texture while providing pore care. The dermatologically tested formula also contains niacinamide to perk up dull skin, as well as hyaluronic acid and allantoin to moisturize skin.","Water, Dipropylene Glycol, Glycerin, Pentylene Glycol, 1,2-Hexanediol, Niacinamide, Acetyl Hexapeptide-8, Copper Tripeptide-1, sh-Polypeptide-121, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Oligopeptide-68, Palmitoyl Tripeptide-8, Allantoin, Sodium Hyaluronate, Acetyl Glucosamine, Serine, Alanine, Glycine, Threonine, Arginine, Proline, Betaine, Sodium PCA, Sodium Lactate, PCA, Glutamic Acid, Lysine HCl, Tocopherol, Dextran, Glycine Soja (Soybean) Oil, Hydrogenated Lecithin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Polyacrylate Crosspolymer-6, Butylene Glycol, Xanthan Gum, Ethylhexylglycerin, Adenosine, Polyquaternium-51, Disodium EDTA, Citric Acid, Caprylyl Glycol, t-Butyl Alcohol, Potassium Sorbate, Sodium Oleate",96.50%,"6,458"
